Student ID,Name,Location,Zip Code,Grade,Major,Interests,Bio
54,Sophia Garcia,Suburban Area,63447,2,Arts,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Sophia Garcia! A 2th-grade student interested in Arts. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
55,Daniel Miller,Urban Area,98683,10,Mathematics,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Daniel Miller! A 10th-grade student interested in Mathematics. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
56,Emma Garcia,Rural Area,28056,5,Technology,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Emma Garcia! A 5th-grade student interested in Technology. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
57,Liam Rodriguez,Urban Area,31612,11,Science,"Expressing myself through various art forms, such as drawing and painting, is my creative outlet.","Hi, I'm Liam Rodriguez! A 11th-grade student interested in Science. Expressing myself through various art forms, such as drawing and painting, is my creative outlet."
58,Noah Garcia,Suburban Area,30813,4,Arts,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Noah Garcia! A 4th-grade student interested in Arts. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
59,Isabella Martinez,Suburban Area,65225,9,Engineering,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Isabella Martinez! A 9th-grade student interested in Engineering. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
60,Ava Taylor,Urban Area,78125,6,Arts,I'm fascinated by robotics and love building simple robots to understand how they work.,"Hi, I'm Ava Taylor! A 6th-grade student interested in Arts. I'm fascinated by robotics and love building simple robots to understand how they work."
61,Olivia Garcia,Rural Area,22088,8,Arts,"I find joy in designing and creating structures, from bridges to small engineering projects.","Hi, I'm Olivia Garcia! A 8th-grade student interested in Arts. I find joy in designing and creating structures, from bridges to small engineering projects."
62,Sophia Martinez,Rural Area,86965,8,Arts,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Sophia Martinez! A 8th-grade student interested in Arts. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
63,Emily Smith,Urban Area,93851,6,Technology,"I find joy in designing and creating structures, from bridges to small engineering projects.","Hi, I'm Emily Smith! A 6th-grade student interested in Technology. I find joy in designing and creating structures, from bridges to small engineering projects."
64,Isabella Garcia,Rural Area,79411,10,Mathematics,"Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts.","Hi, I'm Isabella Garcia! A 10th-grade student interested in Mathematics. Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts."
65,Noah Taylor,Suburban Area,55783,9,Technology,"I find joy in designing and creating structures, from bridges to small engineering projects.","Hi, I'm Noah Taylor! A 9th-grade student interested in Technology. I find joy in designing and creating structures, from bridges to small engineering projects."
66,Ava Johnson,Urban Area,54216,2,Technology,"I find joy in designing and creating structures, from bridges to small engineering projects.","Hi, I'm Ava Johnson! A 2th-grade student interested in Technology. I find joy in designing and creating structures, from bridges to small engineering projects."
67,Emma Martinez,Rural Area,43644,11,Mathematics,"Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts.","Hi, I'm Emma Martinez! A 11th-grade student interested in Mathematics. Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts."
68,Emma Brown,Suburban Area,55866,6,Technology,"I find joy in designing and creating structures, from bridges to small engineering projects.","Hi, I'm Emma Brown! A 6th-grade student interested in Technology. I find joy in designing and creating structures, from bridges to small engineering projects."
69,Jackson Rodriguez,Rural Area,76829,11,Technology,"Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts.","Hi, I'm Jackson Rodriguez! A 11th-grade student interested in Technology. Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts."
70,Noah Martinez,Suburban Area,32174,9,Science,"Expressing myself through various art forms, such as drawing and painting, is my creative outlet.","Hi, I'm Noah Martinez! A 9th-grade student interested in Science. Expressing myself through various art forms, such as drawing and painting, is my creative outlet."
71,Emma Davis,Suburban Area,85327,4,Technology,"I find joy in designing and creating structures, from bridges to small engineering projects.","Hi, I'm Emma Davis! A 4th-grade student interested in Technology. I find joy in designing and creating structures, from bridges to small engineering projects."
72,Daniel Miller,Urban Area,40562,6,Engineering,I'm fascinated by robotics and love building simple robots to understand how they work.,"Hi, I'm Daniel Miller! A 6th-grade student interested in Engineering. I'm fascinated by robotics and love building simple robots to understand how they work."
73,Daniel Jones,Urban Area,92084,8,Engineering,"I find joy in designing and creating structures, from bridges to small engineering projects.","Hi, I'm Daniel Jones! A 8th-grade student interested in Engineering. I find joy in designing and creating structures, from bridges to small engineering projects."
74,Noah Smith,Urban Area,55691,9,Technology,I'm fascinated by robotics and love building simple robots to understand how they work.,"Hi, I'm Noah Smith! A 9th-grade student interested in Technology. I'm fascinated by robotics and love building simple robots to understand how they work."
75,Ethan Jackson,Rural Area,10242,5,Mathematics,"I find joy in designing and creating structures, from bridges to small engineering projects.","Hi, I'm Ethan Jackson! A 5th-grade student interested in Mathematics. I find joy in designing and creating structures, from bridges to small engineering projects."
76,Ava Jackson,Suburban Area,79625,4,Science,"I find joy in designing and creating structures, from bridges to small engineering projects.","Hi, I'm Ava Jackson! A 4th-grade student interested in Science. I find joy in designing and creating structures, from bridges to small engineering projects."
77,Daniel Rodriguez,Suburban Area,80968,6,Engineering,"I find joy in designing and creating structures, from bridges to small engineering projects.","Hi, I'm Daniel Rodriguez! A 6th-grade student interested in Engineering. I find joy in designing and creating structures, from bridges to small engineering projects."
78,Daniel Johnson,Rural Area,46150,6,Engineering,"I find joy in designing and creating structures, from bridges to small engineering projects.","Hi, I'm Daniel Johnson! A 6th-grade student interested in Engineering. I find joy in designing and creating structures, from bridges to small engineering projects."
79,Ava Johnson,Rural Area,55614,4,Mathematics,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Ava Johnson! A 4th-grade student interested in Mathematics. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
80,Liam Jones,Rural Area,71473,4,Science,"I find joy in designing and creating structures, from bridges to small engineering projects.","Hi, I'm Liam Jones! A 4th-grade student interested in Science. I find joy in designing and creating structures, from bridges to small engineering projects."
81,Ethan Rodriguez,Rural Area,69210,8,Technology,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Ethan Rodriguez! A 8th-grade student interested in Technology. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
82,Isabella Rodriguez,Urban Area,12913,7,Mathematics,"Expressing myself through various art forms, such as drawing and painting, is my creative outlet.","Hi, I'm Isabella Rodriguez! A 7th-grade student interested in Mathematics. Expressing myself through various art forms, such as drawing and painting, is my creative outlet."
83,Jackson Rodriguez,Rural Area,71471,1,Science,I'm fascinated by robotics and love building simple robots to understand how they work.,"Hi, I'm Jackson Rodriguez! A 1th-grade student interested in Science. I'm fascinated by robotics and love building simple robots to understand how they work."
84,Ava Jackson,Suburban Area,84980,2,Arts,"Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts.","Hi, I'm Ava Jackson! A 2th-grade student interested in Arts. Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts."
85,Daniel Jones,Rural Area,91350,5,Technology,I'm fascinated by robotics and love building simple robots to understand how they work.,"Hi, I'm Daniel Jones! A 5th-grade student interested in Technology. I'm fascinated by robotics and love building simple robots to understand how they work."
86,Noah Jackson,Rural Area,32729,10,Mathematics,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Noah Jackson! A 10th-grade student interested in Mathematics. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
87,Olivia Davis,Urban Area,12518,2,Mathematics,I'm fascinated by robotics and love building simple robots to understand how they work.,"Hi, I'm Olivia Davis! A 2th-grade student interested in Mathematics. I'm fascinated by robotics and love building simple robots to understand how they work."
88,Sophia Smith,Suburban Area,99850,9,Arts,"Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts.","Hi, I'm Sophia Smith! A 9th-grade student interested in Arts. Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts."
89,Noah Jones,Suburban Area,33640,7,Arts,"I find joy in designing and creating structures, from bridges to small engineering projects.","Hi, I'm Noah Jones! A 7th-grade student interested in Arts. I find joy in designing and creating structures, from bridges to small engineering projects."
90,Aiden Jones,Rural Area,47366,9,Arts,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Aiden Jones! A 9th-grade student interested in Arts. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
91,Olivia Jackson,Rural Area,77709,10,Science,"Expressing myself through various art forms, such as drawing and painting, is my creative outlet.","Hi, I'm Olivia Jackson! A 10th-grade student interested in Science. Expressing myself through various art forms, such as drawing and painting, is my creative outlet."
92,Jackson Smith,Urban Area,83812,11,Engineering,I'm fascinated by robotics and love building simple robots to understand how they work.,"Hi, I'm Jackson Smith! A 11th-grade student interested in Engineering. I'm fascinated by robotics and love building simple robots to understand how they work."
93,Isabella Garcia,Urban Area,88394,12,Science,"I find joy in designing and creating structures, from bridges to small engineering projects.","Hi, I'm Isabella Garcia! A 12th-grade student interested in Science. I find joy in designing and creating structures, from bridges to small engineering projects."
94,Emily Jackson,Rural Area,92042,10,Technology,I'm fascinated by robotics and love building simple robots to understand how they work.,"Hi, I'm Emily Jackson! A 10th-grade student interested in Technology. I'm fascinated by robotics and love building simple robots to understand how they work."
95,Daniel Rodriguez,Suburban Area,12137,10,Mathematics,"Expressing myself through various art forms, such as drawing and painting, is my creative outlet.","Hi, I'm Daniel Rodriguez! A 10th-grade student interested in Mathematics. Expressing myself through various art forms, such as drawing and painting, is my creative outlet."
96,Ethan Brown,Suburban Area,73949,9,Technology,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Ethan Brown! A 9th-grade student interested in Technology. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
97,Liam Smith,Rural Area,29261,4,Engineering,"I find joy in designing and creating structures, from bridges to small engineering projects.","Hi, I'm Liam Smith! A 4th-grade student interested in Engineering. I find joy in designing and creating structures, from bridges to small engineering projects."
98,Noah Miller,Rural Area,92101,8,Science,"I find joy in designing and creating structures, from bridges to small engineering projects.","Hi, I'm Noah Miller! A 8th-grade student interested in Science. I find joy in designing and creating structures, from bridges to small engineering projects."
99,Emily Martinez,Suburban Area,15328,11,Technology,"Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts.","Hi, I'm Emily Martinez! A 11th-grade student interested in Technology. Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts."
100,Jackson Garcia,Suburban Area,37333,6,Arts,"I find joy in designing and creating structures, from bridges to small engineering projects.","Hi, I'm Jackson Garcia! A 6th-grade student interested in Arts. I find joy in designing and creating structures, from bridges to small engineering projects."
101,Emily Jackson,Rural Area,48897,4,Mathematics,"Expressing myself through various art forms, such as drawing and painting, is my creative outlet.","Hi, I'm Emily Jackson! A 4th-grade student interested in Mathematics. Expressing myself through various art forms, such as drawing and painting, is my creative outlet."
102,Olivia Jones,Suburban Area,73771,10,Technology,"I find joy in designing and creating structures, from bridges to small engineering projects.","Hi, I'm Olivia Jones! A 10th-grade student interested in Technology. I find joy in designing and creating structures, from bridges to small engineering projects."
103,Ethan Jackson,Rural Area,80697,12,Engineering,"Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts.","Hi, I'm Ethan Jackson! A 12th-grade student interested in Engineering. Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts."
104,Aiden Rodriguez,Rural Area,38887,9,Engineering,I'm fascinated by robotics and love building simple robots to understand how they work.,"Hi, I'm Aiden Rodriguez! A 9th-grade student interested in Engineering. I'm fascinated by robotics and love building simple robots to understand how they work."
105,Sophia Miller,Suburban Area,60787,7,Science,I'm fascinated by robotics and love building simple robots to understand how they work.,"Hi, I'm Sophia Miller! A 7th-grade student interested in Science. I'm fascinated by robotics and love building simple robots to understand how they work."
106,Jackson Rodriguez,Suburban Area,72210,6,Technology,"I find joy in designing and creating structures, from bridges to small engineering projects.","Hi, I'm Jackson Rodriguez! A 6th-grade student interested in Technology. I find joy in designing and creating structures, from bridges to small engineering projects."
107,Ethan Martinez,Rural Area,83071,11,Mathematics,"I find joy in designing and creating structures, from bridges to small engineering projects.","Hi, I'm Ethan Martinez! A 11th-grade student interested in Mathematics. I find joy in designing and creating structures, from bridges to small engineering projects."
108,Isabella Johnson,Suburban Area,63782,11,Technology,I'm fascinated by robotics and love building simple robots to understand how they work.,"Hi, I'm Isabella Johnson! A 11th-grade student interested in Technology. I'm fascinated by robotics and love building simple robots to understand how they work."
109,Isabella Brown,Urban Area,36869,1,Mathematics,I'm fascinated by robotics and love building simple robots to understand how they work.,"Hi, I'm Isabella Brown! A 1th-grade student interested in Mathematics. I'm fascinated by robotics and love building simple robots to understand how they work."
110,Olivia Brown,Urban Area,99520,6,Technology,"Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts.","Hi, I'm Olivia Brown! A 6th-grade student interested in Technology. Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts."
111,Ava Davis,Rural Area,60169,7,Engineering,"I find joy in designing and creating structures, from bridges to small engineering projects.","Hi, I'm Ava Davis! A 7th-grade student interested in Engineering. I find joy in designing and creating structures, from bridges to small engineering projects."
112,Isabella Taylor,Suburban Area,44637,4,Technology,I'm fascinated by robotics and love building simple robots to understand how they work.,"Hi, I'm Isabella Taylor! A 4th-grade student interested in Technology. I'm fascinated by robotics and love building simple robots to understand how they work."
113,Emma Williams,Urban Area,91569,8,Technology,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Emma Williams! A 8th-grade student interested in Technology. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
114,Jackson Jackson,Rural Area,69491,12,Science,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Jackson Jackson! A 12th-grade student interested in Science. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
115,Olivia Williams,Suburban Area,13836,9,Engineering,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Olivia Williams! A 9th-grade student interested in Engineering. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
116,Ethan Williams,Urban Area,50875,1,Mathematics,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Ethan Williams! A 1th-grade student interested in Mathematics. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
117,Isabella Jackson,Suburban Area,77816,4,Engineering,"Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts.","Hi, I'm Isabella Jackson! A 4th-grade student interested in Engineering. Numbers intrigue me, and I enjoy solving math puzzles and exploring mathematical concepts."
118,Noah Rodriguez,Rural Area,44669,2,Arts,"I find joy in designing and creating structures, from bridges to small engineering projects.","Hi, I'm Noah Rodriguez! A 2th-grade student interested in Arts. I find joy in designing and creating structures, from bridges to small engineering projects."
119,Ava Jones,Rural Area,56958,9,Science,"Exploring technology is my passion, and I enjoy coding programs to create digital solutions.","Hi, I'm Ava Jones! A 9th-grade student interested in Science. Exploring technology is my passion, and I enjoy coding programs to create digital solutions."
